 Sample   Time     Commanded Pos   Encoder 2 Pos   Control Effort

[    0    0.000          0.0000          0.0000          0.0000;
     1    0.004          0.0000          0.0000          0.0000;
     2    0.007          0.0000          0.0000          0.0000;
     3    0.011          0.0000          0.0000          0.0000;
     4    0.014          0.0000          0.0000          0.0000;
     5    0.018          0.0000          0.0000          0.0000;
     6    0.021          0.0000          0.0000          0.0000;
     7    0.025          0.0000          0.0000          0.0000;
     8    0.028          0.0000          0.0000          0.0000;
     9    0.032          0.0000          0.0000          0.0000;
    10    0.035          0.0000          0.0000          0.0000;
    11    0.039          0.0000          0.0000          0.0000;
    12    0.043          0.0000          0.0000          0.0000;
    13    0.046          0.0000          0.0000          0.0000;
    14    0.050          0.0000          0.0000          0.0000;
    15    0.053          0.0000          0.0000          0.0000;
    16    0.057          0.0000          0.0000          0.0000;
    17    0.060          0.0000          0.0000          0.0000;
    18    0.064          0.0000          0.0000          0.0000;
    19    0.067          0.0000          0.0000          0.0000;
    20    0.071          0.0313          0.0000          0.0000;
    21    0.074          0.0313          0.0000          0.0000;
    22    0.078          0.0313          0.0000          0.0000;
    23    0.081          0.0313          0.0000          0.0000;
    24    0.085          0.0313          0.0000          0.0000;
    25    0.089          0.0313          0.0000          0.0000;
    26    0.092          0.0625          0.0000          0.0006;
    27    0.096          0.0625          0.0000          0.0006;
    28    0.099          0.0625          0.0000          0.0006;
    29    0.103          0.0938          0.0000          0.0006;
    30    0.106          0.0938          0.0000          0.0006;
    31    0.110          0.0938          0.0000          0.0006;
    32    0.113          0.1250          0.0000          0.0012;
    33    0.117          0.1250          0.0000          0.0012;
    34    0.120          0.1250          0.0000          0.0012;
    35    0.124          0.1563          0.0000          0.0012;
    36    0.128          0.1563          0.0000          0.0012;
    37    0.131          0.1875          0.0000          0.0018;
    38    0.135          0.1875          0.0000          0.0018;
    39    0.138          0.2188          0.0000          0.0018;
    40    0.142          0.2500          0.0000          0.0024;
    41    0.145          0.2500          0.0000          0.0024;
    42    0.149          0.2813          0.0000          0.0024;
    43    0.152          0.3125          0.0000          0.0031;
    44    0.156          0.3125          0.0000          0.0031;
    45    0.159          0.3438          0.0000          0.0031;
    46    0.163          0.3750          0.0000          0.0037;
    47    0.166          0.4063          0.0000          0.0037;
    48    0.170          0.4063          0.0000          0.0037;
    49    0.174          0.4375          0.0000          0.0043;
    50    0.177          0.4688          0.0000          0.0043;
    51    0.181          0.5000          0.0000          0.0049;
    52    0.184          0.5313          0.0000          0.0049;
    53    0.188          0.5625          0.0000          0.0055;
    54    0.191          0.5938          0.0000          0.0055;
    55    0.195          0.6250          0.0000          0.0061;
    56    0.198          0.6875          0.0000          0.0067;
    57    0.202          0.7188          0.0000          0.0067;
    58    0.205          0.7500          0.0000          0.0073;
    59    0.209          0.7813          0.0000          0.0073;
    60    0.213          0.8438          0.0000          0.0079;
    61    0.216          0.8750          0.0000          0.0085;
    62    0.220          0.9063          0.0000          0.0085;
    63    0.223          0.9688          0.0000          0.0092;
    64    0.227          1.0000          0.0000          0.0098;
    65    0.230          1.0625          0.0000          0.0104;
    66    0.234          1.1250          0.0000          0.0110;
    67    0.237          1.1563          0.0000          0.0110;
    68    0.241          1.2188          0.0000          0.0116;
